,n,event_rate,mean_pred_prob,c_index,brier,log_loss,ece_10bin,top_decile_hit_rate,top_decile_lift
train,52605.0,0.20193897918448817,0.24384196424776192,0.6973574328647388,0.15326875152756342,0.47872376514904197,0.04190298506327378,0.4332699619771863,2.1455489362524602
valid,11022.0,0.06060606060606061,0.22005168555016855,0.6458831914397789,0.09415797467729742,0.34304626975223085,0.15944562494410794,0.11887477313974591,1.9614337568058076
test,11523.0,0.24021522173045215,0.22236614163493948,0.6631972327739695,0.17252137969512063,0.5251110755505212,0.030422802601430224,0.4227430555555556,1.75985123886079
