,n,event_rate,mean_pred_prob,c_index,brier,log_loss,ece_10bin,top_decile_hit_rate,top_decile_lift
train,52605.0,0.22716471818268225,0.2642841271894692,0.7091321459751719,0.16484273294915275,0.5108288058626141,0.037119409006786896,0.4785171102661597,2.106476366991743
valid,11022.0,0.3573761567773544,0.2184658087860561,0.7191308895448928,0.2256282368933351,0.6500047627691743,0.15136924725547868,0.6724137931034483,1.881529532263571
test,11523.0,0.11168966414996095,0.1987226013697323,0.700142354498005,0.1085510028664781,0.3736518883081679,0.08703293721977133,0.2439236111111111,2.18394076987827
